M, N, K, iter, error, time
256, 23, -1, 0, 254.051087, 20.000000
256, 23, 23, 1, 820228401.127751, 10.000000
256, 23, 23, 2, 820228401.127751, 10.000000
256, 23, 23, 3, 820228401.127751, 10.000000
256, 23, 23, 4, 820228401.127751, 10.000000
256, 23, 23, 5, 820228401.127751, 0.000000
256, 23, 35, 1, 2139.017521, 0.000000
256, 23, 35, 2, 2139.017521, 10.000000
256, 23, 35, 3, 2139.017521, 10.000000
256, 23, 35, 4, 2139.017521, 10.000000
256, 23, 35, 5, 2139.017521, 0.000000
256, 23, 47, 1, 519.919561, 10.000000
256, 23, 47, 2, 519.919561, 10.000000
256, 23, 47, 3, 519.919561, 10.000000
256, 23, 47, 4, 519.919561, 10.000000
256, 23, 47, 5, 519.919561, 10.000000
256, 23, 59, 1, 373.361323, 10.000000
256, 23, 59, 2, 373.361323, 0.000000
256, 23, 59, 3, 373.361323, 0.000000
256, 23, 59, 4, 373.361323, 10.000000
256, 23, 59, 5, 373.361323, 10.000000
256, 23, 71, 1, 322.899263, 10.000000
256, 23, 71, 2, 322.899263, 10.000000
256, 23, 71, 3, 322.899263, 10.000000
256, 23, 71, 4, 322.899263, 10.000000
256, 23, 71, 5, 322.899263, 10.000000
256, 23, 83, 1, 299.786052, 0.000000
256, 23, 83, 2, 299.786052, 0.000000
256, 23, 83, 3, 299.786052, 0.000000
256, 23, 83, 4, 299.786052, 10.000000
256, 23, 83, 5, 299.786052, 0.000000
256, 23, 95, 1, 294.577991, 10.000000
256, 23, 95, 2, 294.577991, 10.000000
256, 23, 95, 3, 294.577991, 10.000000
256, 23, 95, 4, 294.577991, 10.000000
256, 23, 95, 5, 294.577991, 10.000000
256, 23, 107, 1, 283.453818, 10.000000
256, 23, 107, 2, 283.453818, 10.000000
256, 23, 107, 3, 283.453818, 10.000000
256, 23, 107, 4, 283.453818, 10.000000
256, 23, 107, 5, 283.453818, 10.000000
256, 23, 119, 1, 273.348115, 10.000000
256, 23, 119, 2, 273.348115, 10.000000
256, 23, 119, 3, 273.348115, 20.000000
256, 23, 119, 4, 273.348115, 10.000000
256, 23, 119, 5, 273.348115, 10.000000
256, 24, -1, 0, 253.501744, 20.000000
256, 24, 24, 1, 639113050.817673, 10.000000
256, 24, 24, 2, 639113050.817673, 10.000000
256, 24, 24, 3, 639113050.817673, 0.000000
256, 24, 24, 4, 639113050.817673, 0.000000
256, 24, 24, 5, 639113050.817673, 10.000000
256, 24, 36, 1, 1917.390041, 10.000000
256, 24, 36, 2, 1917.390041, 10.000000
256, 24, 36, 3, 1917.390041, 0.000000
256, 24, 36, 4, 1917.390041, 10.000000
256, 24, 36, 5, 1917.390041, 10.000000
256, 24, 48, 1, 681.031668, 10.000000
256, 24, 48, 2, 681.031668, 10.000000
256, 24, 48, 3, 681.031668, 10.000000
256, 24, 48, 4, 681.031668, 0.000000
256, 24, 48, 5, 681.031668, 10.000000
256, 24, 60, 1, 421.631088, 10.000000
256, 24, 60, 2, 421.631088, 10.000000
256, 24, 60, 3, 421.631088, 10.000000
256, 24, 60, 4, 421.631088, 10.000000
256, 24, 60, 5, 421.631088, 10.000000
256, 24, 72, 1, 332.910955, 10.000000
256, 24, 72, 2, 332.910955, 10.000000
256, 24, 72, 3, 332.910955, 10.000000
256, 24, 72, 4, 332.910955, 10.000000
256, 24, 72, 5, 332.910955, 10.000000
256, 24, 84, 1, 306.224677, 10.000000
256, 24, 84, 2, 306.224677, 10.000000
256, 24, 84, 3, 306.224677, 10.000000
256, 24, 84, 4, 306.224677, 10.000000
256, 24, 84, 5, 306.224677, 10.000000
256, 24, 96, 1, 297.173947, 20.000000
256, 24, 96, 2, 297.173947, 10.000000
256, 24, 96, 3, 297.173947, 10.000000
256, 24, 96, 4, 297.173947, 10.000000
256, 24, 96, 5, 297.173947, 10.000000
256, 24, 108, 1, 284.545196, 0.000000
256, 24, 108, 2, 284.545196, 10.000000
256, 24, 108, 3, 284.545196, 10.000000
256, 24, 108, 4, 284.545196, 20.000000
256, 24, 108, 5, 284.545196, 10.000000
256, 24, 120, 1, 279.601076, 10.000000
256, 24, 120, 2, 279.601076, 10.000000
256, 24, 120, 3, 275.133587, 10.000000
256, 24, 120, 4, 275.133587, 20.000000
256, 24, 120, 5, 275.133587, 10.000000
512, 22, -1, 0, 511.146174, 110.000000
512, 22, 22, 1, 211211023.951640, 20.000000
512, 22, 22, 2, 211211023.951640, 30.000000
512, 22, 22, 3, 211211023.951640, 20.000000
512, 22, 22, 4, 211211023.951640, 30.000000
512, 22, 22, 5, 211211023.951640, 30.000000
512, 22, 47, 1, 925.703498, 30.000000
512, 22, 47, 2, 925.703498, 30.000000
512, 22, 47, 3, 925.703498, 20.000000
512, 22, 47, 4, 925.703498, 30.000000
512, 22, 47, 5, 925.703498, 30.000000
512, 22, 72, 1, 627.110347, 20.000000
512, 22, 72, 2, 627.110347, 30.000000
512, 22, 72, 3, 638.245590, 30.000000
512, 22, 72, 4, 638.245590, 30.000000
512, 22, 72, 5, 638.245590, 20.000000
512, 22, 97, 1, 570.848190, 30.000000
512, 22, 97, 2, 570.848190, 40.000000
512, 22, 97, 3, 570.848190, 30.000000
512, 22, 97, 4, 570.848190, 30.000000
512, 22, 97, 5, 570.848190, 30.000000
512, 22, 122, 1, 553.633329, 20.000000
512, 22, 122, 2, 553.633329, 40.000000
512, 22, 122, 3, 553.633329, 30.000000
512, 22, 122, 4, 553.633329, 30.000000
512, 22, 122, 5, 553.633329, 30.000000
512, 22, 147, 1, 539.063134, 40.000000
512, 22, 147, 2, 536.450217, 30.000000
512, 22, 147, 3, 536.450217, 30.000000
512, 22, 147, 4, 536.450217, 40.000000
512, 22, 147, 5, 536.450217, 30.000000
512, 22, 172, 1, 527.231647, 40.000000
512, 22, 172, 2, 527.231647, 40.000000
512, 22, 172, 3, 527.231647, 30.000000
512, 22, 172, 4, 527.231647, 30.000000
512, 22, 172, 5, 527.231647, 40.000000
512, 22, 197, 1, 523.567258, 40.000000
512, 22, 197, 2, 523.567258, 40.000000
512, 22, 197, 3, 523.567258, 40.000000
512, 22, 197, 4, 523.567258, 40.000000
512, 22, 197, 5, 523.567258, 30.000000
512, 22, 222, 1, 521.650265, 50.000000
512, 22, 222, 2, 521.650265, 50.000000
512, 22, 222, 3, 521.650265, 40.000000
512, 22, 222, 4, 521.650265, 40.000000
512, 22, 222, 5, 521.650265, 40.000000
512, 27, -1, 0, 510.604816, 120.000000
512, 27, 27, 1, 393009492.387186, 20.000000
512, 27, 27, 2, 393009492.387186, 30.000000
512, 27, 27, 3, 393009492.387186, 30.000000
512, 27, 27, 4, 393009492.387186, 30.000000
512, 27, 27, 5, 21181460.840436, 20.000000
512, 27, 52, 1, 1029.370259, 20.000000
512, 27, 52, 2, 1029.370259, 30.000000
512, 27, 52, 3, 1029.370259, 20.000000
512, 27, 52, 4, 1029.370259, 30.000000
512, 27, 52, 5, 1029.370259, 30.000000
512, 27, 77, 1, 689.897942, 30.000000
512, 27, 77, 2, 689.897942, 30.000000
512, 27, 77, 3, 689.897942, 20.000000
512, 27, 77, 4, 689.897942, 30.000000
512, 27, 77, 5, 689.897942, 40.000000
512, 27, 102, 1, 587.546564, 30.000000
512, 27, 102, 2, 587.546564, 30.000000
512, 27, 102, 3, 601.061100, 40.000000
512, 27, 102, 4, 601.061100, 30.000000
512, 27, 102, 5, 601.061100, 30.000000
512, 27, 127, 1, 552.019926, 30.000000
512, 27, 127, 2, 552.019926, 30.000000
512, 27, 127, 3, 552.019926, 30.000000
512, 27, 127, 4, 552.019926, 50.000000
512, 27, 127, 5, 552.019926, 30.000000
512, 27, 152, 1, 538.910762, 30.000000
512, 27, 152, 2, 538.910762, 30.000000
512, 27, 152, 3, 538.910762, 40.000000
512, 27, 152, 4, 542.810843, 40.000000
512, 27, 152, 5, 542.810843, 30.000000
512, 27, 177, 1, 535.374866, 40.000000
512, 27, 177, 2, 535.374866, 50.000000
512, 27, 177, 3, 535.374866, 40.000000
512, 27, 177, 4, 535.374866, 30.000000
512, 27, 177, 5, 535.374866, 40.000000
512, 27, 202, 1, 530.823993, 50.000000
512, 27, 202, 2, 530.823993, 40.000000
512, 27, 202, 3, 530.823993, 40.000000
512, 27, 202, 4, 530.823993, 40.000000
512, 27, 202, 5, 530.622522, 40.000000
512, 27, 227, 1, 525.609972, 50.000000
512, 27, 227, 2, 525.609972, 40.000000
512, 27, 227, 3, 525.609972, 50.000000
512, 27, 227, 4, 525.609972, 50.000000
512, 27, 227, 5, 525.609972, 50.000000
512, 32, -1, 0, 509.947571, 160.000000
512, 32, 32, 1, 49190832.852264, 20.000000
512, 32, 32, 2, 49190832.852264, 20.000000
512, 32, 32, 3, 4670906.304063, 30.000000
512, 32, 32, 4, 4670906.304063, 30.000000
512, 32, 32, 5, 4670906.304063, 30.000000
512, 32, 57, 1, 1261.974973, 30.000000
512, 32, 57, 2, 1261.974973, 30.000000
512, 32, 57, 3, 1261.974973, 40.000000
512, 32, 57, 4, 1261.974973, 30.000000
512, 32, 57, 5, 1261.974973, 30.000000
512, 32, 82, 1, 718.622189, 40.000000
512, 32, 82, 2, 718.622189, 30.000000
512, 32, 82, 3, 718.622189, 30.000000
512, 32, 82, 4, 768.758475, 30.000000
512, 32, 82, 5, 768.758475, 30.000000
512, 32, 107, 1, 642.607072, 30.000000
512, 32, 107, 2, 642.607072, 40.000000
512, 32, 107, 3, 642.607072, 30.000000
512, 32, 107, 4, 642.607072, 30.000000
512, 32, 107, 5, 642.607072, 30.000000
512, 32, 132, 1, 592.423988, 30.000000
512, 32, 132, 2, 592.423988, 30.000000
512, 32, 132, 3, 592.423988, 40.000000
512, 32, 132, 4, 592.423988, 40.000000
512, 32, 132, 5, 580.954424, 30.000000
512, 32, 157, 1, 557.305259, 40.000000
512, 32, 157, 2, 557.305259, 40.000000
512, 32, 157, 3, 557.305259, 40.000000
512, 32, 157, 4, 557.305259, 40.000000
512, 32, 157, 5, 557.305259, 40.000000
512, 32, 182, 1, 544.598568, 40.000000
512, 32, 182, 2, 544.598568, 40.000000
512, 32, 182, 3, 544.598568, 40.000000
512, 32, 182, 4, 544.598568, 50.000000
512, 32, 182, 5, 544.598568, 40.000000
512, 32, 207, 1, 539.139098, 50.000000
512, 32, 207, 2, 539.139098, 50.000000
512, 32, 207, 3, 539.139098, 50.000000
512, 32, 207, 4, 539.139098, 50.000000
512, 32, 207, 5, 539.139098, 50.000000
512, 32, 232, 1, 532.691261, 60.000000
512, 32, 232, 2, 532.691261, 50.000000
512, 32, 232, 3, 532.691261, 50.000000
512, 32, 232, 4, 532.691261, 60.000000
512, 32, 232, 5, 530.821909, 50.000000
512, 37, -1, 0, 509.375364, 160.000000
512, 37, 37, 1, 721866.783222, 20.000000
512, 37, 37, 2, 721866.783222, 20.000000
512, 37, 37, 3, 721866.783222, 30.000000
512, 37, 37, 4, 721866.783222, 30.000000
512, 37, 37, 5, 721866.783222, 20.000000
512, 37, 62, 1, 1663.156553, 30.000000
512, 37, 62, 2, 2131.309763, 30.000000
512, 37, 62, 3, 2131.309763, 40.000000
